"","match_id","team_id","team_name","id","using_opta_id","first_name","last_name","image_url","page_url","shirt","is_home_team","time_subbed_on","time_subbed_off","usual_position","position_row","role","is_captain","subbed_out","g","rating_num","rating_bgcolor","is_top_rating","is_match_finished","fantasy_score_num","fantasy_score_bgcolor","home_team_id","home_team_color","away_team_id","away_team_color","stats_fot_mob_rating","stats_minutes_played","stats_saves","stats_goals_conceded","stats_x_got_faced","stats_accurate_passes","stats_accurate_long_balls","stats_diving_save","stats_saves_inside_box","stats_acted_as_sweeper","stats_punches","stats_throws","stats_high_claim","stats_recoveries","stats_touches","stats_goals","stats_assists","stats_total_shots","stats_chances_created","stats_expected_assists_x_a","stats_passes_into_final_third","stats_accurate_crosses","stats_dispossessed","stats_tackles_won","stats_clearances","stats_headed_clearance","stats_interceptions","stats_dribbled_past","stats_ground_duels_won","stats_aerial_duels_won","stats_was_fouled","stats_fouls_committed","stats_shotmap","stats_expected_goals_x_g","stats_shot_accuracy","stats_successful_dribbles","stats_blocks","stats_corners","stats_blocked_shots","stats_expected_goals_on_target_x_got","stats_error_led_to_goal","stats_offsides","stats_own_goal","stats_clearance_off_the_line","stats_big_chance_missed","shotmap","is_starter","stats_penalties_miss","stats_saved_penalties","stats_penalties_won","stats_conceded_penalty","stats_errors_led_to_goal","stats_last_man_tackle","stats_penalty_goals_conceded","opp_rating","league","team_rating","elo_dif","page_url_2"
"1","3978737","203576","Melbourne City","770232","FALSE","Thomas","Glover","https://images.fotmob.com/image_resources/playerimages/770232.png","/players/770232/","1","TRUE","NA","NA","0","0","Keeper","NA","NA","NA","7.5","#1ec853","FALSE","TRUE",NA,"purple","203576","#001840","1079464","#333333","7.46","90","3","1","0.89","21","5/18 (28%)","3","3","0","0","3","0","6","29","NA","NA","NA",NA,"NA",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NULL","TRUE",NA,NA,NA,NA,NA,NA,NA,"20.03","A-League","35.53","15.5","/players/770232/thomas-glover"
"2","3978737","203576","Melbourne City","1227258","FALSE","Callum","Talbot","https://images.fotmob.com/image_resources/playerimages/1227258.png","/players/1227258/","25","TRUE","NA","NA","1","1","Defender","NA","NA","NA","7.0","#1ec853","FALSE","TRUE",NA,"purple","203576","#001840","1079464","#333333","6.97","90",NA,NA,"NA","37","2/5 (40%)",NA,NA,NA,NA,NA,NA," 6","61","0","0","0"," 0","0.03"," 5","0/2 (0%)"," 0","NA"," 3"," 1"," 3"," 1","0/4 (0%)"," 0"," 0"," 3",NA,"NA","NA",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NULL","TRUE",NA,NA,NA,NA,NA,NA,NA,"20.03","A-League","35.53","15.5","/players/1227258/callum-talbot"
"3","3978737","203576","Melbourne City","278838","FALSE","Thomas","Lam","https://images.fotmob.com/image_resources/playerimages/278838.png","/players/278838/","6","TRUE","NA","65","1","1","Defender","NA","NA","NA","6.8","#f08022","FALSE","TRUE",NA,"purple","203576","#001840","1079464","#333333","6.75","65",NA,NA,"NA","42","6/9 (67%)",NA,NA,NA,NA,NA,NA," 2","45","0","0","1"," 0","0.01"," 7",NA," 0","NA"," 1",NA,NA,NA,"0/1 (0%)","2/3 (67%)"," 0"," 1","TRUE","0.26","0",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NULL","TRUE",NA,NA,NA,NA,NA,NA,NA,"20.03","A-League","35.53","15.5","/players/278838/thomas-lam"
"4","3978737","203576","Melbourne City","118145","FALSE","Scott","Jamieson","https://images.fotmob.com/image_resources/playerimages/118145.png","/players/118145/","3","TRUE","NA","NA","1","1","Defender","NA","NA","NA","7.1","#1ec853","FALSE","TRUE",NA,"purple","203576","#001840","1079464","#333333","7.05","90",NA,NA,"NA","61","5/14 (36%)",NA,NA,NA,NA,NA,NA,"10","68","0","0","0"," 0","0.13","17","1/1 (100%)"," 1","1",NA,NA," 1",NA,"1/3 (33%)","0/1 (0%)"," 0"," 0",NA,"NA","NA","0/1 (0%)",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NULL","TRUE",NA,NA,NA,NA,NA,NA,NA,"20.03","A-League","35.53","15.5","/players/118145/scott-jamieson"
"5","3978737","203576","Melbourne City","1316930","FALSE","Jordan","Bos","https://images.fotmob.com/image_resources/playerimages/1316930.png","/players/1316930/","38","TRUE","NA","NA","1","1","Defender","NA","NA","NA","7.5","#1ec853","FALSE","TRUE",NA,"purple","203576","#001840","1079464","#333333","7.53","90",NA,NA,"NA","41","2/5 (40%)",NA,NA,NA,NA,NA,NA," 6","72","0","0","1"," 1","0.02","10",NA," 0","6"," 1"," 1"," 1",NA,"7/10 (70%)","2/4 (50%)"," 1"," 2","TRUE","0.02","0","0/1 (0%)"," 1",NA,NA,"NA",NA,NA,NA,NA,NA,"NULL","TRUE",NA,NA,NA,NA,NA,NA,NA,"20.03","A-League","35.53","15.5","/players/1316930/jordan-bos"
"6","3978737","203576","Melbourne City","1169230","FALSE","Taras","Gomulka","https://images.fotmob.com/image_resources/playerimages/1169230.png","/players/1169230/","16","TRUE","NA","NA","2","2","Midfielder","NA","NA","NA","7.5","#1ec853","FALSE","TRUE",NA,"purple","203576","#001840","1079464","#333333","7.52","90",NA,NA,"NA","43","1/5 (20%)",NA,NA,NA,NA,NA,NA," 7","63","0","0","1"," 2","0.31"," 9","3/8 (38%)"," 1","3"," 2"," 2"," 1"," 1","3/7 (43%)","1/1 (100%)"," 0"," 1","TRUE","0.05","0","0/1 (0%)"," 1"," 9",NA,"NA",NA,NA,NA,NA,NA,"list(id = 2468307215, eventType = ""Miss"", teamId = 203576, playerId = 1169230, playerName = ""Taras Gomulka"", x = 85.6014738637518, y = 31.9412494182587, min = 56, minAdded = NA, isBlocked = FALSE, isOnTarget = FALSE, blockedX = NA, blockedY = NA, goalCrossedY = 31.255, goalCrossedZ = 6.513793116, expectedGoals = 0.0524214804172516, expectedGoalsOnTarget = NA, shotType = ""RightFoot"", situation = ""RegularPlay"", period = ""SecondHalf"", isOwnGoal = FALSE, onGoalShot = list(x = 1.28540169850977, y = 0.677248677248677, 
    zoomRatio = 0.393012174997054), teamColor = ""#001840"")","TRUE",NA,NA,NA,NA,NA,NA,NA,"20.03","A-League","35.53","15.5","/players/1169230/taras-gomulka"
"7","3978737","203576","Melbourne City","785377","FALSE","Aiden","O'Neill","https://images.fotmob.com/image_resources/playerimages/785377.png","/players/785377/","13","TRUE","NA","NA","2","2","Midfielder","NA","NA","NA","7.5","#1ec853","FALSE","TRUE",NA,"purple","203576","#001840","1079464","#333333","7.48","90",NA,NA,"NA","43","4/5 (80%)",NA,NA,NA,NA,NA,NA," 3","55","0","0","1"," 2","0.07"," 9","0/2 (0%)"," 0","2",NA,NA," 1"," 1","4/7 (57%)","1/1 (100%)"," 2"," 3","TRUE","0.06","NA",NA,NA,NA," 1","NA",NA,NA,NA,NA,NA,"list(id = 2468295311, eventType = ""AttemptSaved"", teamId = 203576, playerId = 785377, playerName = ""Aiden O'Neill"", x = 86.889705882, y = 30.4925011634827, min = 45, minAdded = 0, isBlocked = TRUE, isOnTarget = TRUE, blockedX = 90.2, blockedY = 31.255, goalCrossedY = 34.83875, goalCrossedZ = 1.219999994, expectedGoals = 0.0557843148708344, expectedGoalsOnTarget = NA, shotType = ""RightFoot"", situation = ""RegularPlay"", period = ""FirstHalf"", isOwnGoal = FALSE, onGoalShot = list(x = 0.778108465608464, 
    y = 0.322751321164021, zoomRatio = 1), teamColor = ""#001840"")","TRUE",NA,NA,NA,NA,NA,NA,NA,"20.03","A-League","35.53","15.5","/players/785377/aiden-oneill"
"8","3978737","203576","Melbourne City","398901","FALSE","Andrew","Nabbout","https://images.fotmob.com/image_resources/playerimages/398901.png","/players/398901/","15","TRUE","NA","73","3","3","Attacker","NA","NA","NA","8.1","#1ec853","FALSE","TRUE",NA,"purple","203576","#001840","1079464","#333333","8.09","73",NA,NA,"NA","33","2/4 (50%)",NA,NA,NA,NA,NA,NA," 5","52","0","0","5"," 0","0.11"," 3","1/2 (50%)"," 0","4"," 1",NA,NA,NA,"5/8 (63%)","5/5 (100%)"," 0"," 2","TRUE","0.35","3","1/2 (50%)",NA,NA,NA,"0.13",NA,NA,NA,NA,NA,"list(id = c(2468283145, 2468288765, 2468293267, 2468305231, 2468307825), eventType = c(""Miss"", ""Miss"", ""AttemptSaved"", ""AttemptSaved"", ""AttemptSaved""), teamId = c(203576, 203576, 203576, 203576, 203576), playerId = c(398901, 398901, 398901, 398901, 398901), playerName = c(""Andrew Nabbout"", ""Andrew Nabbout"", ""Andrew Nabbout"", ""Andrew Nabbout"", ""Andrew Nabbout""), x = c(96.8947368413, 96.8947368413, 99.0175409148214, 100.543106342508, 96.4122807008), y = c(46.5230573213, 21.0565602456282, 28.4549987165351, 
19.8654782443436, 28.2869060434649), min = c(9, 27, 38, 51, 58), minAdded = c(NA, NA, NA, NA, NA), isBlocked = c(FALSE, FALSE, TRUE, FALSE, FALSE), isOnTarget = c(FALSE, FALSE, TRUE, TRUE, TRUE), blockedX = c(NA, NA, 104.1465517242, 104.051724138, 103.2931034484), blockedY = c(NA, NA, 34.53375, 31.255, 34.38125), goalCrossedY = c(39.460952382, 23.2985987305, 35.60125, 32.0175, 33.77125), goalCrossedZ = c(0.5329473658, 2.8902068976, 1.219999994, 1.4254736772, 0.4879999976), expectedGoals = c(0.0242734849452972, 
0.062489926815033, 0.0488945245742798, 0.0307694673538208, 0.180059731006622), expectedGoalsOnTarget = c(NA, NA, NA, 0.0978, 0.0278), shotType = c(""RightFoot"", ""RightFoot"", ""Header"", ""RightFoot"", ""RightFoot""), situation = c(""RegularPlay"", ""RegularPlay"", ""RegularPlay"", ""RegularPlay"", ""RegularPlay""), period = c(""FirstHalf"", ""FirstHalf"", ""FirstHalf"", ""SecondHalf"", ""SecondHalf""), isOwnGoal = c(FALSE, FALSE, FALSE, FALSE, FALSE), onGoalShot = list(x = c(0, 2, 0.576388888888889, 1.5244708994709, 1.06051587301587
), y = c(0.0975923847196807, 0.270077424891763, 0.322751321164021, 0.377109438412698, 0.129100528465608), zoomRatio = c(0.692186954872445, 0.353224769804059, 1, 1, 1)), teamColor = c(""#001840"", ""#001840"", ""#001840"", ""#001840"", ""#001840""))","TRUE",NA,NA,NA,NA,NA,NA,NA,"20.03","A-League","35.53","15.5","/players/398901/andrew-nabbout"
"9","3978737","203576","Melbourne City","168872","FALSE","Valon","Berisha","https://images.fotmob.com/image_resources/playerimages/168872.png","/players/168872/","14","TRUE","NA","NA","2","3","Midfielder","NA","NA","NA","6.6","#f08022","FALSE","TRUE",NA,"purple","203576","#001840","1079464","#333333","6.58","90",NA,NA,"NA","33","1/1 (100%)",NA,NA,NA,NA,NA,NA," 5","50","0","0","0"," 2","0.18"," 2","2/4 (50%)"," 1","2",NA,NA,NA,NA,"6/9 (67%)","1/3 (33%)"," 3"," 2",NA,"NA","NA","1/1 (100%)",NA," 2",NA,"NA"," 1",NA,NA,NA,NA,"list()","TRUE",NA,NA,NA,NA,NA,NA,NA,"20.03","A-League","35.53","15.5","/players/168872/valon-berisha"
"10","3978737","203576","Melbourne City","185014","FALSE","Matthew","Leckie","https://images.fotmob.com/image_resources/playerimages/185014.png","/players/185014/","7","TRUE","NA","NA","3","3","Attacker","NA","NA","NA","8.4","#0e87e0","TRUE","TRUE",NA,"purple","203576","#001840","1079464","#333333","8.4","90",NA,NA,"NA","39","1/2 (50%)",NA,NA,NA,NA,NA,NA,"10","80","0","0","5"," 2","0.28"," 3","2/3 (67%)"," 2","6"," 2"," 1"," 2"," 3","9/22 (41%)","7/11 (64%)"," 1"," 2","TRUE","0.4","3","2/8 (25%)"," 1",NA," 2","0.47",NA,NA,NA,NA,NA,"list(id = c(2468282883, 2468286649, 2468317959, 2468318235, 2468322659), eventType = c(""AttemptSaved"", ""AttemptSaved"", ""AttemptSaved"", ""AttemptSaved"", ""AttemptSaved""), teamId = c(203576, 203576, 203576, 203576, 203576), playerId = c(185014, 185014, 185014, 185014, 185014), playerName = c(""Matthew Leckie"", ""Matthew Leckie"", ""Matthew Leckie"", ""Matthew Leckie"", ""Matthew Leckie""), x = c(85.9235277731241, 100.922410899492, 94.4824561388, 94.4824561388, 91.8000030517578), y = c(36.8974994182587, 41.1419041207675, 
41.5412508821487, 37.684, 38.5364292142324), min = c(8, 21, 83, 84, 90), minAdded = c(NA, NA, NA, NA, 6), isBlocked = c(FALSE, TRUE, FALSE, FALSE, TRUE), isOnTarget = c(TRUE, TRUE, TRUE, TRUE, TRUE), blockedX = c(102.3448275864, 102.2500000002, 102.3448275864, 103.4827586208, 101.206896552), blockedY = c(34.83875, 39.460952382, 36.05875, 34.53375, 33.695), goalCrossedY = c(33.085, 35.44875, 33.2375, 31.1025, 31.1025), goalCrossedZ = c(0.2054736832, 1.219999994, 0.6934736808, 1.3034736778, 0.2696842092
), expectedGoals = c(0.0837741792201996, 0.0584297478199005, 0.0877665281295776, 0.043567031621933, 0.13064369559288), expectedGoalsOnTarget = c(0.0557, NA, 0.0369, 0.38, NA), shotType = c(""RightFoot"", ""Header"", ""LeftFoot"", ""Header"", ""RightFoot""), situation = c(""RegularPlay"", ""RegularPlay"", ""RegularPlay"", ""FromCorner"", ""FastBreak""), period = c(""FirstHalf"", ""FirstHalf"", ""SecondHalf"", ""SecondHalf"", ""SecondHalf""), isOwnGoal = c(FALSE, FALSE, FALSE, FALSE, FALSE), onGoalShot = list(x = c(1.24206349206349, 
0.616732804232803, 1.20171957671958, 1.76653439153439, 1.76653439153439), y = c(0.0543581172486773, 0.322751321164021, 0.183458645714286, 0.344834306296296, 0.0713450288888889), zoomRatio = c(1, 1, 1, 1, 1)), teamColor = c(""#001840"", ""#001840"", ""#001840"", ""#001840"", ""#001840""))","TRUE",NA,NA,NA,NA,NA,NA,NA,"20.03","A-League","35.53","15.5","/players/185014/matthew-leckie"
"11","3978737","203576","Melbourne City","494378","FALSE","Jamie","Maclaren","https://images.fotmob.com/image_resources/playerimages/494378.png","/players/494378/","9","TRUE","NA","NA","3","5","Attacker","NA","NA","1","8.3","#1ec853","FALSE","TRUE",NA,"purple","203576","#001840","1079464","#333333","8.28","90",NA,NA,"NA","24",NA,NA,NA,NA,NA,NA,NA," 3","39","1","0","4"," 3","0.05",NA,"0/1 (0%)"," 1","1",NA,NA," 1",NA,"1/3 (33%)","3/3 (100%)"," 0"," 0","TRUE","0.51","2","0/1 (0%)",NA,NA," 1","0.38",NA," 1",NA,NA,NA,"list(id = c(2468282669, 2468307955, 2468319651, 2468322677), eventType = c(""AttemptSaved"", ""Goal"", ""Miss"", ""AttemptSaved""), teamId = c(203576, 203576, 203576, 203576), playerId = c(494378, 494378, 494378, 494378), playerName = c(""Jamie Maclaren"", ""Jamie Maclaren"", ""Jamie Maclaren"", ""Jamie Maclaren""), x = c(96.6052602123214, 91.4000015258789, 89.5, 94.4824561388), y = c(20.2858593410564, 29.9678584234649, 16.1521016446282, 36.2875), min = c(8, 59, 88, 90), minAdded = c(NA, NA, NA, 6), isBlocked = c(TRUE, 
FALSE, FALSE, FALSE), isOnTarget = c(TRUE, TRUE, FALSE, TRUE), blockedX = c(97.0877192975, NA, NA, 103.4827586208), blockedY = c(21.3368152901, NA, NA, 34.38125), goalCrossedY = c(36.97375, 35.22, 31.865, 34), goalCrossedZ = c(1.219999994, 0.5714736814, 5.427586216, 1.7465263072), expectedGoals = c(0.0435935258865356, 0.289050400257111, 0.0188683271408081, 0.154637396335602), expectedGoalsOnTarget = c(NA, 0.2982, NA, 0.08), shotType = c(""RightFoot"", ""RightFoot"", ""RightFoot"", ""RightFoot""), situation = c(""FastBreak"", 
""RegularPlay"", ""SetPiece"", ""FastBreak""), period = c(""FirstHalf"", ""SecondHalf"", ""SecondHalf"", ""SecondHalf""), isOwnGoal = c(FALSE, FALSE, FALSE, FALSE), onGoalShot = list(x = c(0.21329365079365, 0.677248677248676, 1.26640312440611, 1), y = c(0.322751321164021, 0.151183513597884, 0.677248677248677, 0.462043996613757), zoomRatio = c(1, 1, 0.471664548128847, 1)), teamColor = c(""#001840"", ""#001840"", ""#001840"", ""#001840""))","TRUE",NA,NA,NA,NA,NA,NA,NA,"20.03","A-League","35.53","15.5","/players/494378/jamie-maclaren"
"12","3978737","1079464","Western United","47564","FALSE","James","Troisi","https://images.fotmob.com/image_resources/playerimages/47564.png","/players/47564/","14","FALSE","NA","NA","2","5","Midfielder","NA","NA","NA","6.8","#f08022","FALSE","TRUE",NA,"purple","203576","#001840","1079464","#333333","6.78","90",NA,NA,"NA","41","3/3 (100%)",NA,NA,NA,NA,NA,NA," 3","59","0","0","1"," 2","0.17"," 6",NA," 1","1"," 1",NA,NA," 1","3/8 (38%)","2/3 (67%)"," 2"," 1","TRUE","0.09","1","0/2 (0%)"," 1",NA,NA,"0.03",NA,NA,NA,NA,NA,"list(id = 2468280647, eventType = ""AttemptSaved"", teamId = 1079464, playerId = 47564, playerName = ""James Troisi"", x = 91, y = 31.8650005817413, min = 1, minAdded = NA, isBlocked = FALSE, isOnTarget = TRUE, blockedX = 103.1982758622, blockedY = 33.00875, goalCrossedY = 34.22875, goalCrossedZ = 0.2054736832, expectedGoals = 0.0864576697349548, expectedGoalsOnTarget = 0.032, shotType = ""LeftFoot"", situation = ""RegularPlay"", period = ""FirstHalf"", isOwnGoal = FALSE, onGoalShot = list(x = 0.939484126984128, 
    y = 0.0543581172486773, zoomRatio = 1), teamColor = ""#333333"")","TRUE",NA,NA,NA,NA,NA,NA,NA,"35.53","A-League","20.03","-15.5","/players/47564/james-troisi"
"13","3978737","1079464","Western United","970278","FALSE","Dylan","Wenzel-Halls","https://images.fotmob.com/image_resources/playerimages/970278.png","/players/970278/","9","FALSE","NA","61","3","5","Attacker","NA","NA","NA","6.4","#f08022","FALSE","TRUE",NA,"purple","203576","#001840","1079464","#333333","6.43","61",NA,NA,"NA","10",NA,NA,NA,NA,NA,NA,NA,NA,"17","0","0","0"," 0","NA",NA,NA," 0","1"," 1"," 1"," 1",NA,"3/3 (100%)","0/1 (0%)"," 2"," 0",NA,"NA","NA",NA,NA,NA,NA,"NA",NA," 1",NA,NA,NA,"list()","TRUE",NA,NA,NA,NA,NA,NA,NA,"35.53","A-League","20.03","-15.5","/players/970278/dylan-wenzel-halls"
"14","3978737","1079464","Western United","426142","FALSE","Connor","Pain","https://images.fotmob.com/image_resources/playerimages/426142.png","/players/426142/","11","FALSE","NA","NA","3","3","Attacker","NA","NA","NA","6.7","#f08022","FALSE","TRUE",NA,"purple","203576","#001840","1079464","#333333","6.67","90",NA,NA,"NA","24",NA,NA,NA,NA,NA,NA,NA," 2","40","0","0","2"," 0","0.02",NA,"0/1 (0%)"," 2","NA"," 2"," 1"," 1",NA,"5/8 (63%)","0/1 (0%)"," 3"," 0","TRUE","0.2","1","2/3 (67%)",NA,NA," 1","0.04",NA,NA,NA,NA,NA,"list(id = c(2468306671, 2468309645), eventType = c(""AttemptSaved"", ""AttemptSaved""), teamId = c(1079464, 1079464), playerId = c(426142, 426142), playerName = c(""Connor Pain"", ""Connor Pain""), x = c(90.3000030517578, 93.0999984741211), y = c(42.46625, 39.208809525), min = c(55, 63), minAdded = c(NA, NA), isBlocked = c(FALSE, TRUE), isOnTarget = c(TRUE, TRUE), blockedX = c(103.4827586208, 98.535087719), blockedY = c(36.21125, 37.708), goalCrossedY = c(34.68625, 33.46625), goalCrossedZ = c(0.2439999988, 
1.219999994), expectedGoals = c(0.0571677982807159, 0.146962404251099), expectedGoalsOnTarget = c(0.0388, NA), shotType = c(""RightFoot"", ""LeftFoot""), situation = c(""RegularPlay"", ""RegularPlay""), period = c(""SecondHalf"", ""SecondHalf""), isOwnGoal = c(FALSE, FALSE), onGoalShot = list(x = c(0.818452380952381, 1.14120370370371), y = c(0.0645502642328042, 0.322751321164021), zoomRatio = c(1, 1)), teamColor = c(""#333333"", ""#333333""))","TRUE",NA,NA,NA,NA,NA,NA,NA,"35.53","A-League","20.03","-15.5","/players/426142/connor-pain"
"15","3978737","1079464","Western United","23820","FALSE","Neil","Kilkenny","https://images.fotmob.com/image_resources/playerimages/23820.png","/players/23820/","88","FALSE","NA","NA","2","3","Midfielder","NA","NA","NA","7.4","#1ec853","FALSE","TRUE",NA,"purple","203576","#001840","1079464","#333333","7.35","90",NA,NA,"NA","61","3/7 (43%)",NA,NA,NA,NA,NA,NA,"12","75","0","0","0"," 2","0.27"," 8","1/3 (33%)"," 0","1",NA,NA," 4"," 1","1/3 (33%)","0/1 (0%)"," 0"," 1",NA,"NA","NA",NA,NA," 3",NA,"NA",NA,NA,NA,NA,NA,"list()","TRUE",NA,NA,NA,NA,NA,NA,NA,"35.53","A-League","20.03","-15.5","/players/23820/neil-kilkenny"
"16","3978737","1079464","Western United","185099","FALSE","Steven","Lustica","https://images.fotmob.com/image_resources/playerimages/185099.png","/players/185099/","10","FALSE","NA","62","2","3","Midfielder","NA","NA","NA","6.1","#f08022","FALSE","TRUE",NA,"purple","203576","#001840","1079464","#333333","6.14","62",NA,NA,"NA","19",NA,NA,NA,NA,NA,NA,NA," 2","25","0","0","0"," 0","NA"," 2",NA," 0","NA"," 2",NA," 1",NA," 0","0/2 (0%)"," 0"," 0",NA,"NA","NA",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"list()","TRUE",NA,NA,NA,NA,NA,NA,NA,"35.53","A-League","20.03","-15.5","/players/185099/steven-lustica"
"17","3978737","1079464","Western United","839195","FALSE","Lachlan","Wales","https://images.fotmob.com/image_resources/playerimages/839195.png","/players/839195/","8","FALSE","NA","79","3","3","Attacker","NA","NA","NA","6.1","#f08022","FALSE","TRUE",NA,"purple","203576","#001840","1079464","#333333","6.07","79",NA,NA,"NA","18","0/1 (0%)",NA,NA,NA,NA,NA,NA," 3","30","0","0","0"," 1","0.08"," 1",NA," 1","NA"," 2"," 1",NA,NA,"1/5 (20%)","1/3 (33%)"," 1"," 1",NA,"NA","NA","0/3 (0%)",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"list()","TRUE",NA,NA,NA,NA,NA,NA,NA,"35.53","A-League","20.03","-15.5","/players/839195/lachlan-wales"
"18","3978737","1079464","Western United","396259","FALSE","Benjamin","Garuccio","https://images.fotmob.com/image_resources/playerimages/396259.png","/players/396259/","17","FALSE","NA","NA","1","1","Defender","NA","NA","NA","5.7","#f08022","FALSE","TRUE",NA,"purple","203576","#001840","1079464","#333333","5.73","90",NA,NA,"NA","39","0/2 (0%)",NA,NA,NA,NA,NA,NA," 6","62","0","0","1"," 0","0.01"," 3",NA," 2","NA"," 3"," 3"," 1"," 1","3/6 (50%)","1/7 (14%)"," 3"," 0","TRUE","0.02","0",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"list(id = 2468296829, eventType = ""Miss"", teamId = 1079464, playerId = 396259, playerName = ""Benjamin Garuccio"", x = 82.5975710975344, y = 19.3049678881282, min = 45, minAdded = 3, isBlocked = FALSE, isOnTarget = FALSE, blockedX = NA, blockedY = NA, goalCrossedY = 40.049285715, goalCrossedZ = 1.2456842044, expectedGoals = 0.0205314457416534, expectedGoalsOnTarget = NA, shotType = ""LeftFoot"", situation = ""SetPiece"", period = ""FirstHalf"", isOwnGoal = FALSE, onGoalShot = list(x = 0, y = 0.20592252756572, 
    zoomRatio = 0.624867162519204), teamColor = ""#333333"")","TRUE",NA,NA,NA,NA,NA,NA,NA,"35.53","A-League","20.03","-15.5","/players/396259/benjamin-garuccio"
"19","3978737","1079464","Western United","202663","FALSE","Léo","Lacroix","https://images.fotmob.com/image_resources/playerimages/202663.png","/players/202663/","4","FALSE","NA","NA","1","1","Defender","NA","NA","NA","3.8","#e55e5b","FALSE","TRUE",NA,"purple","203576","#001840","1079464","#333333","3.83","90",NA,NA,"NA","67","4/13 (31%)",NA,NA,NA,NA,NA,NA," 3","85","0","0","2"," 0","0.01"," 6",NA," 2","2"," 4",NA," 2"," 1","2/9 (22%)","3/4 (75%)"," 0"," 2","TRUE","0.39","1","0/2 (0%)"," 1",NA,NA,"0.28"," 1"," 1"," 1",NA,NA,"list(id = c(2468292009, 2468292557, 2468293345), eventType = c(""AttemptSaved"", ""Miss"", ""Goal""), teamId = c(1079464, 1079464, 1079464), playerId = c(202663, 202663, 202663), playerName = c(""Léo Lacroix"", ""Léo Lacroix"", ""Léo Lacroix""), x = c(97.9561388780607, 98.0526286338214, 103.956896529191), y = c(35.14375, 38.368333335, 31.9412494182587), min = 36:38, minAdded = c(NA, NA, NA), isBlocked = c(FALSE, FALSE, FALSE), isOnTarget = c(TRUE, FALSE, TRUE), blockedX = c(103.9568965518, NA, NA), blockedY = c(33.695, 
NA, NA), goalCrossedY = c(31.56, 31.4075, 33.00875), goalCrossedZ = c(0.449473682, 6.513793116, 0.2054736832), expectedGoals = c(0.189595878124237, 0.204049080610275, NA), expectedGoalsOnTarget = c(0.2827, NA, NA), shotType = c(""Header"", ""Header"", ""OtherBodyParts""), situation = c(""SetPiece"", ""FromCorner"", ""RegularPlay""), period = c(""FirstHalf"", ""FirstHalf"", ""FirstHalf""), isOwnGoal = c(FALSE, FALSE, TRUE), onGoalShot = list(x = c(1.64550264550265, 1.26954604859256, 1.26223544973545), y = c(0.118908381481481, 
0.677248677248677, 0.0543581172486773), zoomRatio = c(1, 0.393012174997054, 1)), teamColor = c(""#333333"", ""#333333"", ""#333333""))","TRUE",NA,NA,NA,NA,NA,NA,NA,"35.53","A-League","20.03","-15.5","/players/202663/lo-lacroix"
"20","3978737","1079464","Western United","430848","FALSE","Tomoki","Imai","https://images.fotmob.com/image_resources/playerimages/430848.png","/players/430848/","6","FALSE","NA","46","1","1","Defender","NA","NA","NA","6.8","#f08022","FALSE","TRUE",NA,"purple","203576","#001840","1079464","#333333","6.82","45",NA,NA,"NA","22","1/2 (50%)",NA,NA,NA,NA,NA,NA," 2","30","0","0","0"," 0","NA",NA,NA," 0","NA"," 3"," 2",NA,NA," 0","1/1 (100%)"," 0"," 0",NA,"NA","NA",NA," 2",NA,NA,"NA",NA,NA,NA," 1",NA,"list()","TRUE",NA,NA,NA,NA,NA,NA,NA,"35.53","A-League","20.03","-15.5","/players/430848/tomoki-imai"
"21","3978737","1079464","Western United","213835","FALSE","Joshua","Risdon","https://images.fotmob.com/image_resources/playerimages/213835.png","/players/213835/","19","FALSE","NA","NA","1","1","Defender","NA","NA","NA","7.4","#1ec853","FALSE","TRUE",NA,"purple","203576","#001840","1079464","#333333","7.42","90",NA,NA,"NA","53","3/6 (50%)",NA,NA,NA,NA,NA,NA," 9","101","0","0","1"," 0","0.02"," 9","0/2 (0%)"," 2","10"," 2"," 1"," 3"," 1","15/22 (68%)","2/8 (25%)"," 2"," 3","TRUE","0.08","NA","3/4 (75%)"," 1",NA," 1","NA",NA,NA,NA,NA,NA,"list(id = 2468292233, eventType = ""AttemptSaved"", teamId = 1079464, playerId = 213835, playerName = ""Joshua Risdon"", x = 94.6754356503214, y = 25.3603129410744, min = 36, minAdded = NA, isBlocked = TRUE, isOnTarget = TRUE, blockedX = 96.9912280694, blockedY = 26.2853125, goalCrossedY = 32.78, goalCrossedZ = 1.219999994, expectedGoals = 0.0820018947124481, expectedGoalsOnTarget = NA, shotType = ""LeftFoot"", situation = ""RegularPlay"", period = ""FirstHalf"", isOwnGoal = FALSE, onGoalShot = list(x = 1.32275132275132, 
    y = 0.322751321164021, zoomRatio = 1), teamColor = ""#333333"")","TRUE",NA,NA,NA,NA,NA,NA,NA,"35.53","A-League","20.03","-15.5","/players/213835/joshua-risdon"
